id;Alias *;Search *;Active (0/1)
1;addidos, adidos, Adidas basket;adidas;1
2;baskets, chaussures;basket;1
3;Nikes, Nike baskets, Nike basket;Nike;1
4;Pumas, Puma basket;Puma;1
5;Asic;Asics;1
6;Diadoras;Diadora;1
7;Ewings;Ewing;1
8;Balance, Newbalance, Newbalances, New Balances;New Balance;1
9;Stance, stancesocks, stances socks, stances sock, stancessocks;Stance Socks;1
10;Reebooks, reeboks, reebouks, reboks, rebok;Reebok;1
11;Femme, feme, femes;Femme;1
12;Vintages;Vintage;1
13;Accessoire, accessoires, accesoires, acessoire;Accessoires;1
